"customer_id","prospect_id","onboarding_date"
1,100002,"2026-01-01"
2,100003,"2025-04-19"
3,100004,"2025-07-03"
4,100005,"2026-01-08"
5,100007,"2025-07-11"
6,100009,"2025-05-01"
7,100010,"2025-09-20"
8,100012,"2025-06-26"
9,100013,"2025-09-18"
10,100014,"2025-07-02"
11,100016,"2025-10-06"
12,100017,"2025-03-24"
13,100018,"2025-04-29"
14,100020,"2025-06-19"
15,100021,"2025-10-07"
16,100023,"2025-05-28"
17,100025,"2026-01-26"
18,100027,"2025-08-31"
19,100028,"2025-09-04"
20,100029,"2025-10-13"
21,100031,"2025-11-09"
22,100032,"2025-09-08"
23,100035,"2025-08-08"
24,100036,"2025-06-14"
25,100037,"2025-03-22"
26,100039,"2025-11-27"
27,100040,"2025-07-30"
28,100041,"2025-09-05"
29,100042,"2025-09-01"
30,100044,"2025-03-15"
31,100046,"2025-12-10"
32,100047,"2025-04-29"
33,100050,"2025-05-15"
34,100052,"2025-08-11"
35,100055,"2025-08-03"
36,100056,"2026-01-17"
37,100057,"2025-12-03"
38,100058,"2025-05-16"
39,100059,"2025-04-07"
40,100061,"2025-07-20"
41,100062,"2025-06-02"
42,100064,"2025-12-01"
43,100065,"2025-08-05"
44,100066,"2025-05-01"
45,100067,"2025-12-09"
46,100070,"2026-01-10"
47,100073,"2025-05-05"
48,100074,"2025-10-28"
49,100075,"2026-01-27"
50,100078,"2025-07-16"
51,100080,"2025-10-01"
52,100082,"2025-03-07"
53,100083,"2025-11-13"
54,100085,"2025-08-11"
55,100086,"2025-07-13"
56,100087,"2025-12-25"
57,100088,"2025-07-21"
58,100090,"2026-01-06"
59,100092,"2025-06-01"
60,100093,"2025-07-03"
61,100096,"2025-10-12"
62,100097,"2025-09-24"
63,100098,"2025-11-17"
64,100099,"2025-07-03"
65,100100,"2025-11-23"
66,100101,"2026-02-10"
67,100102,"2025-03-24"
68,100103,"2026-02-06"
69,100104,"2025-11-18"
70,100105,"2025-09-14"
71,100106,"2025-12-29"
72,100107,"2025-09-15"
73,100108,"2026-02-16"
74,100109,"2025-09-04"
